acronym_,expansion,id,text
FEC,forward error correction,TR-4111,The parameters are defined as follows : FEC - based : accounts for mechanisms that employ FEC ; ARQ - based : mark mechanisms that use ARQ ; QoE - sensitive data : this parameter demonstrates mechanisms that identity and/or considerate the video content to define the EC policy ; Video - aware : check mark is given to mechanisms that use any video characteristics to define the amount of redundancy and/or retransmission ; High - quality video : it is marked if the mechanisms are using videos equal or higher than 720p ( HD ready ) ; Network status : this parameter defines if the mechanisms use the information about the network healthy to define the redundant data ; UEP - enabled : means that different amounts of redundancy are being added to distinct portions of the video .
LC,latent class,TR-4133,"These LC models distinguishbetween conventional random utility and the lexicographic choice criterion ( dataset 1),among choice criteria with different reference points ( dataset 2),(note that standard random utility has no reference point)between standard random utility and the elimination - by - aspects choice criterion ( dataset 3),and between standard random utility and the random - regret choice criterion ( dataset 4).hess / etal:12-tFinally , Swait and Adamowicz show that consumers also fall into different ' decision strategy ' LCs , and that increasing either the complexity of the choice task or the cumulative task burden induces switching toward simpler decision strategies.swait/adamowicz:01-jcrThese results underscore an interpretation of the choice - criterion probabilities that is only implicit in the above - mentioned studies : that(a ) decision makers should not be characterized solely in terms of their modal choice criterion , but in terms of their choice - criterion mixtures , and that(b ) the criterion that is operative for a particular choice task is obtained as a draw from the probability distribution over choice criteria , which in turn is conditional upon features of the context , the framing and presentation of the choice options , and the current psychological characteristics of the decision maker ."
CP,completely positive,TR-4151,"The compact structure for is given by the doubles of the cups and caps of , while the adjoint of a process in the form of Diagram is given by first taking the adjoint in , and then using the following equation for the adjoint of the discarding map : Because the doubled processes and the discarding maps are well - defined CP maps , it is legitimate to rephrase the very definition of the CPM category by saying that its processes are exactly those in the following form : This means that doubled processes and discarding maps are enough to express all CP maps , but to prove results about CP maps we need a graphical axiom relating a generic CPM category to the corresponding original category ."
SGNS,syntactic symmetric pattern,TR-4155,1.01.0l XXContext Type & Training Time & Pairs ( lr)1 - 1 ( lr)2 - 2 ( lr)3 - 3BOW ( win=2 ) & 179mins 27s & 5.974GPOSIT ( win=2 ) & 190mins 12s & 5.974GCOORD ( conjlr ) & 4mins 11s & 129.69 M SP & 1mins 29s & 46.37 M DEPS - All & 103mins 35s & 3.165 G BEST - ADJ & 14mins 5s & 447.4 M BEST - VERBS & 29mins 48s & 828.55 M BEST - NOUNS & 41mins 14s & 1.063 G -0.3emTraining time ( wall - clock time reported ) in minutes for SGNS ( ) with different context types .
CF,collaborative filtering,TR-4307,"filtering ( sec : Generalizing via collaborative filtering ) History & History of the document & History & History Sports & Famous resident & Demographics & Career Awards & Communes without arms & Economy & Personal Life Medal Summary & Content and importance & Education & Honours Statistics & Player movement & Politics & Career Statistics tabulartable*figure*[Topic modeling ( sec : Using topic modeling ) ] FIG / baseline_topic fig : baseline_topic[Category - section counts ( sec : Using category - section counts ) ] FIG / count_based fig : count_based[Generalizing counts via CF ( sec : Generalizing via collaborative filtering ) ] FIG / cf_based fig : cf_based[Human evaluation ( sec : Evaluation by human experts ) ] FIG / human_eval fig : human_evalPrecision and recall as a function of the number of recommended sections , for all methods we evaluate ."
ADN,activity driven networks,TR-4355,"tikzpicture customlegend[legend columns=5,legend style = at=(0.12,1.02),draw = none , column sep=2ex , line width=2 pt , legend entries = Het GDT , Het ADN , 0.364 M , 0.50 M , 1.0 M ] dash dot , line legend , color = black solid , color = black solid , color = red solid , color = blue solid , color = green customlegend tikzpictureszensnt_a.pdf szensnt_b.pdfSensitivity of the graph model with large network sizes : A ) disease prevalence dynamics and B ) cumulative infection over simulation daysfig : netsznfigureTo understand the response of the graph model for larger scale simulation with large network sizes , the simulations are also run on various sizes of the networks ."
ST,split - turnip,TR-4500,"i & BDD - based Network Reliability & HLL & n / a & Hardy2007,Herrmann2010 4*ii & Lomonosov's - Turnip & LT & & Gertsbakh2016 2 - 5 & Sequential Splitting Monte Carlo & ST & , & Vaisman2016 2 - 5 & Generalized Splitting & GS & & Botev2012 2 - 5 & Recursive Variance Reduction & RVR & & Cancela2014 3*iii & Karger 's 2-step Algorithm & K2Simple & & Karger2016 2 - 5 iii & Optimal Monte Carlo Simulation & , & & Dagum2000 , Huber2017 2 - 5 & Counting - based Network Unreliability & & & This paper tabular tableTo the best of our knowledge , methods in Table t : methods are some of the best in their categories as evidenced in the literature ."
FEC,forward error correction,TR-4616,"tabularccccccc -1.5exPacket loss & -1.5exQoE & -1.5exWithout & & -1.5exVideo - aware FEC & & -1.5exViewFEC 1.0exrate & 1.0exMetric & 1.0exFEC & 1.5exVideo - aware FEC & 1.0exImprovement & 1.5exViewFEC & 1.0exImprovement 2*Packet loss 5 & VQM & 3.05 & 1.06 & 65.14 & 1.02 & 66.48 & SSIM & 0.76 & 0.91 & 19.74 & 0.92 & 21.05 2*Packet loss 10 & VQM & 4.01 & 1.11 & 72.36 & 1.12 & 72.09 & SSIM & 0.74 & 0.91 & 22.97 & 0.91 & 22.97 2*Packet loss 15 & VQM & 6.19 & 1.60 & 74.09 & 1.49 & 75.87 & SSIM & 0.50 & 0.90 & 80.00 & 0.89 & 78.00 2*Packet loss 20 & VQM & 8.68 & 1.77 & 79.60 & 1.81 & 79.14 & SSIM & 0.33 & 0.88 & 166.67 & 0.88 & 166.67 tabular tab : vfec : allpktloss center tableTaking into consideration the results of the experiments , it is possible to say that the proposed ViewFEC mechanism showed good performance ."
QA,question answering,TR-4717,"table[!tbh]minipage0.5tabularp2cmlll4cWikiMovies Dataset Perturbations & BLEU & QBLEU & Hit 1 ( ) Original & 100 & 100 & 76.5 Stop Words & 25.4 & 84.0 & 75.6 Relation Words & 29.4 & 64.3 & 54.7 Question Type & 74.0 & 79.3 & 73.5 NER & 41.9 & 48.5 & 17.97 tabularAccuracy reported across different types of questions for WikiMovies Datasetmachine_wikimoviesminipageminipage0.5table - format=-1.2tabularp2cmcccc5cSQuAD Dataset Perturbations & 1lBLEU & 1lQBLEU & 1lF1 & 1lEM Original & 100 & 100 & 76.5 & 66.5 NER & 77.0 & 76.7 & 73.8 & 54.0 Question Type & 80.1 & 70.3 & 69.0 & 59.7 Stop Words & 24.2 & 69.59 & 70.4 & 65.8 Relevant Words & 60.7 & 63.4 & 64.1 & 61.7 tabularAccuracy reported across different types of questions for SQuAD Datasetadv_squadminipageminipage0.5table - format=-1.2tabularp2cmccc4cVQA Dataset Perturbations & 1lBLEU & 1lQBLEU & 1lOverall ( ) Original & 100 & 100 & 64.4 Relevant Words & 82.6 & 78.8 & 60.21 Question Type & 63.7 & 66.36 & 59.81 Stop Words & 10.8 & 42.46 & 57.37 tabularAccuracy reported across different types of questions for VQA Datasetmachine_vqaminipagetable0 subtable0.5table - format=-1.2subtabletableQuestion Generation for Question Answering SystemsAs argued earlier , one important use case of automatically generating questions from text / images is to eventually use these generated questions to train a QA system ."
PC,principal component,TR-4841,"@X rrr rrr @ & 3 c[c ] PC 0 , , & 3c[c]PC 1 , , ( lr)2 - 4(lr)5 - 7 & coeff & p val & LMG & coeff & p val & LMG extraversion & & & 0.8 & & 0.03 & 0.38 openness & & 0.01 & 0.07 & & 0.5 & 0.08 neuroticism & & 0.7 & 0.07 & & 0.01 & 0.48 agreeableness & & 0.5 & 0.03 & & 1.0 & 0.01 conscientiousness & & 1.0 & 0.03 & & 0.6 & 0.04 T=30 , Extraversion , openness , and neuroticism explain spatial behaviour ."
IR,information retrieval,TR-4842,"arrows , shapes , backgroundstikzmarkcalcvertex=[ellipse , fill = black!25,minimum size=20pt , inner sep=0pt]edge = [ draw , thin,-]glabel = [ text width=1cm , text centered , font=]bg bg , main [ 1]switch ( # 1)switchcaseassert[1](#1)SE[SWITCH]SwitchEndSwitch[1 ] # 1 SE[CASE]CaseEndCase[1 ] # 1 * EndSwitch*EndCase[1 ] # 1e.gi.e[scale=0.4](0,.35 ) - ( .25,0 ) - ( 1,.7 ) - ( .25,.15 ) - cycle ; language = java , basicstyle = pcrblack , keywordstyle= , commentstyle= , numbers = none , numberstyle= , backgroundcolor= , showspaces = false , showstringspaces = false , showtabs = false , frame = single , tabsize=2 , rulesepcolor= , captionpos = b , breaklines = true , breakatwhitespace = false , failed to patchfailed to patch[Improving Bug Localization with Context - Aware Query Reformulation]Improving IR - Based Bug Localization with Context - Aware Query ReformulationMohammad Masudur RahmanUniversity of SaskatchewanSaskatoon , Canadamasud.rahman@usask.ca Chanchal K. RoyUniversity of SaskatchewanSaskatoon , Canadachanchal.roy@usask.caRecent findings suggest that Information Retrieval ( IR)-based bug localization techniques do not perform well if the bug report lacks rich structured information ( relevant program entity names ) ."
CNN,convolutional neural network,TR-4870,"table[H ] tabularcccccccccc & 3c80 & 3c160 & 3c320 & SRP & GMBF & CNN & SRP & GMBF & CNN & SRP & GMBF & CNN 2 * 01 & & & & & & & & & & & & & & & & & & 2 * 02 & & & & & & & & & & & & & & & & & & 2 * 03 & & & & & & & & & & & & & & & & & & 2*Average & & & & & & & & & & & & & & & & & & tabular Baseline results for the SRP - PHAT strategy ( columns SRP ) ; the one invelasco2012-F ( columns GMBF ) , and the CNN trained with synthetic data without applying the fine - tuning procedure ( columns CNN ) for sequences 01 , 02 and 03 for different window sizes ."
LDA,linear discriminant analysis,TR-4903,"& Task&Segment & Feature Extraction&Classifier&Performance 4*Biased & 2*Abdullah2010 & 2 * 10 & 2 * 5 & 2*[2]weeks & 2 * 4 & EC & 2*[5]s & 2*AR & 2*ANN&CRR = [ 97.0 ] & & & & & & EO & & & & CRR = [ 96.0]2 - 11 & Riera2008&51&4 & 34 [ 74]days & 2 & EC & [ 4]s & AR , PSD , MuI , COH , CC & FDA & EER = [ 3.4 ] 2 - 11 & Su2010&40&2 & - & 1 & EC & [ 180]s & AR , PSD & KNN , LDA & CRR = [ 97.5 ] 8*Rigorous&Marcel2007&9&3&[3]days & 8 & MI & [ 1]s & PSD & MAP model & HTER = [ 19.3 ] 2 - 11 & Lee2013&4&2 & [ 10]days - [ 5]months & 1 & EC & [ 50]s & PSD & LDA & AC = [ 100 ] 2 - 11 & 2*Rocca2013 & 2 * 9 & 2 * 2 & 2 * 1 - [ 3]weeks & 3 & 2*EC & 2*[1]s & 2*AR & 2*Linear classier & CRR = [ 100 ] & & & & & 5 & & & & & CRR = [ 100 ] 2 - 11 & 2*Armstrong2015 & 15 & 2 & 5 - [ 40]days & 2 * 1 & 2*ERP & 2*[1.1]s & 2*Time - series & 2*CC & CRR = [ 89.0 ] & & 9 & 3 & 134 - [ 188]days & & & & & & CRR = [ 93.0 ] 2 - 11 & 2*Maiorana2016a & 2 * 50 & 2 * 3 & 2*Ave . ["
CPM,completely positive maps,TR-4937,"The compact structure for is given by the doubles of the cups and caps of , while the adjoint of a process in the form of Diagram is given by first taking the adjoint in , and then using the following equation for the adjoint of the discarding map : Because the doubled processes and the discarding maps are well - defined CP maps , it is legitimate to rephrase the very definition of the CPM category by saying that its processes are exactly those in the following form : This means that doubled processes and discarding maps are enough to express all CP maps , but to prove results about CP maps we need a graphical axiom relating a generic CPM category to the corresponding original category ."
PI,purchase intention,TR-4963,"L ) Magnitude of the correlation between trust and sales , ( M ) Magnitude of the correlation between trust and price , ( N ) Magnitude of the correlation between trust and history , ( O ) Magnitude of the correlation between PI and sales , ( P ) Magnitude of the correlation between price and PI , ( Q ) Magnitude of the correlation between history and PI , ( R ) Magnitude of the correlation between price and sales , ( S ) Magnitude of the correlation between history and sales , ( T ) Magnitude of the correlation between history and price ."
BF,basic feature,TR-5168,table*[ht]Accuracy of 's modules with different classifierstab : classifiertabularccccc2*Classifier Type & 4cAccuracy 2 - 5 & BF Multi - classifier & AF Multi - classifier & Profile Image CNN & Overall Decision Tree & 0.721 & 0.618 & 5 * 0.790 & 0.721 1 - 3 5 - 5 SVM & 0.739 & 0.352 & & 0.800 1 - 3 5 - 5 AdaBoost & 0.790 & 0.704 & & 0.850 1 - 3 5 - 5 GradientBoosting & 0.816 & 0.738 & & 0.842 1 - 3 5 - 5 Random Forest & 0.796 & 0.708 & & 0.899 tabulartable*table*[ht]performance with different feature setstab : featuretabularl c c c c c c c c c c2*Feature Set Description & 3cMale & 3cFemale & 3cBrand & 2*Acc 2 - 10 & R & P & F1 & R & P & F1 & R & P & F1 0 .
CA,cumulative activation,TR-5194,"To summarize , our contributions include : ( a ) we propose the seed minimization and influence maximization problem under cumulativeactivation ( SM - CA problem and IM - CA problem respectively ) , which is a reasonable model for purchasing behavior of customers exposed to repeated information cascades ; ( b)we design an approximate algorithm for SM - CA problem when ; ( c ) we show strong hardness results for SM - CA problem with and IM - CA problem ; ( d ) we propose efficient heuristic algorithms and validate them through extensive experiments on real - world datasets and conclude that one heuristic is the best choice for both SM - CA and IM - CA problems ."
IO,interacting object,TR-5231,"Additionally , the corresponding terms in eq:19 are defined as follows : 0em : Doppler shift for the th RIS : Doppler shift for the th plain IO : Constant phase shift for the th RIS : Constant phase shift for the th plain IO : Initial radio path distance for the th RIS : Initial radio path distance for the th plain IO : Adjustable phase shift of the th RISHere , the Doppler shifts of the RISs and plain IOs are not only dependent on the speed of the MS , but also on their relative positions with respect to the MS , i.e. , angles of arrival for the incoming signals : and , where and are the angles of arrival for the reflected signals of th RIS and th plain IO , respectively ."
CT,computed tomography,TR-5238,figure [ ht ] center minipage0.15 ./fig / snapshot0001new3.png minipage minipage0.15 ./fig / snapshot0011new3.png minipage minipage0.15 ./fig / snapshot0041new3.png minipage minipage0.15 ./fig / snapshot0091new3.png minipage minipage0.15 ./fig / snapshot0002new3.png minipage minipage0.15 ./fig / snapshot0012new3.png minipage minipage0.15 ./fig / snapshot0042new3.png minipage minipage0.15 ./fig / snapshot0092new3.png minipage minipage0.15 ./fig / snapshot0004new.png minipage minipage0.15 ./fig / snapshot0014new.png minipage minipage0.15 ./fig / snapshot0044new.png minipage minipage0.15 ./fig / snapshot0094new.png minipage minipage0.15 ./fig / snapshot0005new2.png minipage minipage0.15 ./fig / snapshot0015new2.png minipage minipage0.15 ./fig / snapshot0045new2.png minipage minipage0.15 ./fig / snapshot0095new2.png minipage minipage0.15 ./fig / snapshot0007new.png minipage minipage0.15 ./fig / snapshot0017new.png minipage minipage0.15 ./fig / snapshot0047new.png minipage minipage0.15 ./fig / snapshot0097new.png minipage minipage0.15 ./fig / snapshot0008new2.png minipage minipage0.15 ./fig / snapshot0018new2.png minipage minipage0.15 ./fig / snapshot0048new2.png minipage minipage0.15 ./fig / snapshot0098new2.png minipage center 5fig : vis1 Visualizations on four test CT images .
MAD,map attention decision,TR-5266,tab : design center tabularl c c c c Strategy & AR@100 & AR@S & AR@M & AR@L Baseline & 68.51 & 49.07 & 62.93 & 75.64 dyTrainScale & 72.58 & 53.41 & 66.34 & 78.83 equilibrium & 69.85 & 50.49 & 63.55 & 76.88 grayCls & 69.77 & 50.21 & 63.19 & 77.04 ZIP + all & 74.22 & 54.39 & 68.47 & 81.53 ZIP + all + MAD & 76.51 & 57.28 & 70.05 & 84.21 blackspatial MAD & 76.50 & 57.11 & 70.13 & 84.09 blackER vector & 71.87 & 51.84 & 65.49 & 76.21 tabular center tableTraining strategies .
RNN,random neural networks,TR-5736,"For all the given values , iterate through the RNN recurrent network learning algorithm till convergence , updating at each step the weights and , , so as to minimize the following error function : Dataset DescriptionHere we give a brief description of the four datasets used for evaluation:[leftmargin=*,labelsep=4.9mm]Iris dataset : Each instance is described by four plants attributes ( sepal length and width , and petal length and width ) all are real numbers and the task is to recognize which class of Iris plants ( Iris Setosa , Iris Versicolour , or Iris Virginica ) a given test instance belongs to ."
MAC,multiple access channels,TR-5813,"The transmitters send power - normalized versions of the estimation error , i.e. , aswhere is a power scaling factor , , and is a modulation coefficient chosen asThe user 's correlation coefficients can be written as , In a symmetric Gaussian MAC i.e. , and for all , the sum - capacity is achievable using F - MEC coding strategy , if satisfies and is the unique solution ofFeedback Effect Analysis of the K - user Symmetric Gaussian MACIn the following , utilizing the derivative of the MI we show that how F - MEC code affects the information rate of a K - user symmetric Gaussian MAC ."
FTE,foveal tilt effects,TR-5911,"the edge maps at fine to medium scales with the overlayed Hough lines are shown in [ fig : B5]Figs to [ fig : B7]. We show the mean tilt angles measured in the DoG edge maps across multiple scales in [ appendix : AppxC]Appendix C.figuresectionC. Quantitative mean tiltsThe absolute mean tilts and the standard errors of detected tilt angles for the Cafe Wall variations tested are provided here in Figs [ fig:]Figs and [ fig : C2]. For the ' foveal tilt effect ' ( FTE , explained in [ sec:3.1.1]Sections and [ sec:3.1.2]Section ) , we used the near horizontal mean tilts at scale 4 , and reflected these values to [ fig:6]Fig ."
US,uncertainty sampling,TR-6002,0.80tabularcccccccccccccc & 6cWhole abstract & 6cSentence & 4*Avg 2 - 13 & 3c2*CNN for CNN & 3cCNN for & 3c2*CNN for CNN & 3cCNN for & & 3c & 3cBiLSTM - CRF & 3c & 3cBiLSTM - CRF & 2 - 13 & Val & Test & Pseudo&Val & Test & Pseudo&Val & Test & Pseudo&Val & Test & Pseudo & EDG & 61.6 & 61.9 & 55.7 & 68.7 & 68.2 & 59.2 & 62.1 & 60.2 & 56.1 & 70.0 & 68.2 & 59.8 & 62.4EDGext1 ( w/o Val ) & 60.4 & 61.5 & 55.4 & 67.4 & 67.0 & 58.6 & 61.9 & 60.0 & 55.2 & 69.0 & 69.2 & 59.1 & 62.0 RND & 56.5 & 57.9 & 51.3 & 64.9 & 64.1 & 55.7 & 58.8 & 57.2 & 54.1 & 65.4 & 65.2 & 56.5 & 59.0Div & 57.9 & 57.8 & 54.2 & 64.4 & 64.6 & 57.2 & 59.3 & 58.4 & 53.8 & 66.2 & 65.7 & 57.0 & 59.7 US & 60.9 & 60.9 & 54.9 & 68.1 & 68.5 & 58.3 & 60.0 & 59.6 & 54.0 & 69.7 & 68.5 & 59.9 & 61.9US+Div & 61.1 & 60.4 & 56.4 & 65.4 & 66.8 & 58.3 & 60.5 & 58.9 & 55.4 & 70.1 & 68.1 & 59.3 & 61.7 US+Div+EDGext2 & 61.9 & 60.1 & 56.8 & 71.7 & 66.1 & 59.1 & 63.1 & 60.8 & 56.8 & 70.6 & 68.6 & 60.1 & 63.0 BALD & 61.0 & 61.4 & 56.4 & 68.9 & 69.4 & 58.8 & 61.0 & 59.7 & 55.1 & 70.9 & 67.8 & 60.1 & 62.5 BALD+EDGext2 & 61.3 & 60.0 & 56.9 & 69.4 & 66.5 & 59.5 & 65.0 & 62.2 & 55.9 & 72.4 & 68.7 & 59.7 & 63.1 tabularThe experiment setup is the same as Table tb : pseudo_exp except that the performances are the maximal micro - F1 ( ) of 5 neural networks rather than their average .
DR,dispersion reduction,TR-6053,1cAP(IoU=0.5 ) & 1cC.R.W2 2cbaseline ( SOTA)1 & 82.5 & 73.2 & 100 & 69.2 & 76.1 3*VGG-16 & MI - FGSM & 41 & 42.6 & 62 & 38.2 & 15.9 & DIM & 39 & 36.5 & 57 & 29.9 & 16.1 & DR ( Ours ) & 23 & 32.9 & 35 & 20.9 & 4.1 3*Resnet-152 & MI - FGSM & 37 & 41.0 & 61 & 40.4 & 17.4 & DIM & 49 & 46.7 & 60 & 34.2 & 15.1 & DR ( Ours ) & 25 & 33.3 & 31 & 34.6 & 9.5 tabulartablenotes [ 1 ] The baseline performance of GCV models can not be measured due to the mismatch between original labels and labels used by Google .
MSE,mean squared error,TR-6460,"equation*propositionproofSubstituting the tailored value of in Equation eqn : M_adaptiveUG for that in Equation eqn : nonInter_mse , we haveeqnarray & o = & 2dr^23(N)^2+d1+dk^2-d^2d(1+d ) ( ( 2+d2d)^d2 + 2d + 12(2d2+d)^2+d2 + 2d ) .eqn : augkm_mseeqnarrayTherefore , when is small , the MSE of the cluster centroids output by isproofcommentcommentfigure*[p ] tabularcc s1-performance.eps & s1-performance-closeup.eps ( a ) S1 dataset & ( b ) S1 dataset , close - up at large gowalla-2d-performance.eps & gowalla-2d-performance-closeup.eps ( c ) Gowalla 2D dataset & ( d ) Gowalla 2D dataset , close - up at large gowalla-3d-performance.eps & gowalla-3d-performance-closeup.eps ( e ) Gowalla 3D dataset & ( f ) Gowalla 3D dataset , close - up at large tabular The comparison of four algorithms proposed in this paper , by varying fig : exp - vary - epsilonfigure*figure*[p]minipage[b]0.45regression - all - in - one.epsThe linear regression for empirically finding the value.fig:regressionminipageminipage[b]0.45ds1.10-scalability.epsThe comparison of the UGkM and DPLloyd with varying dimensions.fig:exp-vary-N-dimensionminipagefigure*commentThe Hybrid Approachssec : hybridOur hybrid approach combines and ."
NEB,next event backtracking,TR-6509,"Plugging Equations eq : rhpdf to eq : stdphotonpdf and the sampler counts into the balance heuristic eq : misweight gives us the searched weights : align * w_e = p_e^*p_sum & & w_E = n_E p_E^*p_sum & & w_P , k = n_Pp_P , k^*p_sum & & w_LP , k = n_LPp_LP , k^*p_sumalign*equation with p_sum = p_e^ * + n_E p_E^ * + n_P _ k=1^p_P , k^ * + n_LP _ k=1^p_LP , k^ * eq : miswequationDensity Estimationsec : densityAn important point for the correctness and performance of the NEB operator is the estimate of the density ( required in Equation eq : flux ) ."
CF,collaborative filtering,TR-6538,"Similar to CF task , the CTR data likelihood is : Then the factorisation machine with logistic activation function is adopted to model the click probability over a specific ad impression : where is modelled by interactions among 3-side featuresDual - Task BridgeTo model the dependency between the two tasks , the weights of the user features and publisher features in CTR task are assumed to be generated from the counterparts in CF task ( as a prior):where is the assumed variance of the Gaussian generation process between each pair of feature weights of CF and CTR tasks and the weight generation is assumed to be independent across features ."
IR,information retrieval,TR-6663,"Our experiments reveal several interesting facts such as : ( a ) Segmentation is actively useful in improving IR performance , even though submitting all segments ( detected by an algorithm ) in double quotes to the IR engine degrades performance ; ( b ) All segmentation strategies , including human segmentations , are yet to reach the best achievable limits in IR performance ; ( c ) In terms of IR metrics , some of the segmentation algorithms perform as good as the best human annotator and better than the average / worst human annotator ; ( d ) Current match - based metrics for comparing query segmentation against human annotations are only weakly correlated with the IR - based metrics , and can not be used as a proxy for IR performance ; and ( e ) There is scope for improvement for the matching metrics that compare segmentations against human annotations by differentially penalizing the straddling , splitting and joining of reference segments ."
AIDA,"atomic , independent , declarative , and absolute",TR-6683,"My previous work introduced the concept of AIDA sentences , which are defined as English sentences that are : Atomic : a sentence describing one thought that can not be further broken down in a practical way ; Independent : a sentence that can stand on its own , without external references like "" this effect "" or "" we "" ; Declarative : a complete sentence ending with a full stop that could ( at least in theory ) be true or false ; and Absolute : a sentence describing the core of a claim ignoring the ( un)certainty about its truth and ignoring how it was discovered ( without phrases such as "" probably "" or "" evaluation showed that "" ) ."
CNN,convolutional neural network,TR-6743,0.80tabularcccccccccccccc & 6cWhole abstract & 6cSentence & 4*Avg 2 - 13 & 3c2*CNN for CNN & 3cCNN for & 3c2*CNN for CNN & 3cCNN for & & 3c & 3cBiLSTM - CRF & 3c & 3cBiLSTM - CRF & 2 - 13 & Val & Test & Pseudo&Val & Test & Pseudo&Val & Test & Pseudo&Val & Test & Pseudo & EDG & 61.6 & 61.9 & 55.7 & 68.7 & 68.2 & 59.2 & 62.1 & 60.2 & 56.1 & 70.0 & 68.2 & 59.8 & 62.4EDGext1 ( w/o Val ) & 60.4 & 61.5 & 55.4 & 67.4 & 67.0 & 58.6 & 61.9 & 60.0 & 55.2 & 69.0 & 69.2 & 59.1 & 62.0 RND & 56.5 & 57.9 & 51.3 & 64.9 & 64.1 & 55.7 & 58.8 & 57.2 & 54.1 & 65.4 & 65.2 & 56.5 & 59.0Div & 57.9 & 57.8 & 54.2 & 64.4 & 64.6 & 57.2 & 59.3 & 58.4 & 53.8 & 66.2 & 65.7 & 57.0 & 59.7 US & 60.9 & 60.9 & 54.9 & 68.1 & 68.5 & 58.3 & 60.0 & 59.6 & 54.0 & 69.7 & 68.5 & 59.9 & 61.9US+Div & 61.1 & 60.4 & 56.4 & 65.4 & 66.8 & 58.3 & 60.5 & 58.9 & 55.4 & 70.1 & 68.1 & 59.3 & 61.7 US+Div+EDGext2 & 61.9 & 60.1 & 56.8 & 71.7 & 66.1 & 59.1 & 63.1 & 60.8 & 56.8 & 70.6 & 68.6 & 60.1 & 63.0 BALD & 61.0 & 61.4 & 56.4 & 68.9 & 69.4 & 58.8 & 61.0 & 59.7 & 55.1 & 70.9 & 67.8 & 60.1 & 62.5 BALD+EDGext2 & 61.3 & 60.0 & 56.9 & 69.4 & 66.5 & 59.5 & 65.0 & 62.2 & 55.9 & 72.4 & 68.7 & 59.7 & 63.1 tabularThe experiment setup is the same as Table tb : pseudo_exp except that the performances are the maximal micro - F1 ( ) of 5 neural networks rather than their average .
MVP,mitral valve prolapse,TR-6815,"B. Variation in ECG patterns for leads I and V1 for patients highlighted in red ( B ) and yellow ( C ) in A. In each case , ECGs show substantial temporal changes in complex morphology , particularly in those features important for a PAH diagnosis ( Figure ) * [ ] [ ] Characteristics of Studies Used to Train Left Ventricular Mass Estimation Model * [ ] [ ] Characteristics of Studies Used to Train Left Atrial Volume Estimation Model * [ ] [ ] Characteristics of Studies Used to Train Mitral Valve Annular e ' Estimation Model * [ ] [ ] Characteristics of Studies Used to Train PAH Classification Model * [ ] [ ] Characteristics of Studies Used to Train HCM Classification Model * [ ] [ ] Characteristics of Studies Used to Train Amyloid Classification Model * [ ] [ ] Characteristics of Studies Used to Train MVP Classification Model * [ ] [ ] Characteristics of Studies Used to Train Left Ventricular Hypertrophy Classification Model * [ ] [ ] Characteristics of Studies Used to Train Diastolic Dysfunction Classification Model * [ ] [ ] Characteristics of Studies Used to Train Left Atrial Enlargement Classification Model * [ ] [ ] Variable Importance for GBM Models for Cardiac Structure and Function * [ ] [ ] Variable Importance for GBM Models for Disease Detection"
